image	outlines	result	hint
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/106.png	"[ { ""shape"": ""rectangle"", ""left"": 0.38428999934694136, ""top"": 0.48627852044808406, ""width"": 0.25112620346640396, ""height"": 0.03913158752941859 }, { ""shape"": ""polygon"", ""points"": [ { ""left"": 0.37938997586467005, ""top"": 0.0629458917207377 }, { ""left"": 0.5484407860030297, ""top"": 0.043973000797383234 }, { ""left"": 0.5459907742618941, ""top"": 0.07598975423054388 }, { ""left"": 0.4675903985455534, ""top"": 0.08191878264409215 }, { ""left"": 0.4026650874054587, ""top"": 0.09377683947118869 }, { ""left"": 0.37938997586467005, ""top"": 0.0985200622020273 } ] }, { ""shape"": ""polygon"", ""points"": [ { ""left"": 0.70034151395344, ""top"": 0.0878478110576404 }, { ""left"": 0.6782914082832191, ""top"": 0.11156392471183349 }, { ""left"": 0.7015665198240078, ""top"": 0.12697939858705898 }, { ""left"": 0.7395417018116104, ""top"": 0.14358067814499412 }, { ""left"": 0.7750668720580772, ""top"": 0.17085420884731617 }, { ""left"": 0.8203920892690867, ""top"": 0.21117160205944438 }, { ""left"": 0.8387671773276041, ""top"": 0.23607352139634713 }, { ""left"": 0.8718423358329354, ""top"": 0.2692760805122174 }, { ""left"": 0.881642382797478, ""top"": 0.2846915543874429 }, { ""left"": 0.9122675295616737, ""top"": 0.2669044691467981 }, { ""left"": 0.8938924415031563, ""top"": 0.23725932707905675 }, { ""left"": 0.8583672712566892, ""top"": 0.19812773954963822 }, { ""left"": 0.8203920892690867, ""top"": 0.1601819577029293 }, { ""left"": 0.7775168837992129, ""top"": 0.12697939858705898 }, { ""left"": 0.7309666607176356, ""top"": 0.10207747925015627 } ] }, { ""shape"": ""polygon"", ""points"": [ { ""left"": 0.022913267529433286, ""top"": 0.5123662454676965 }, { ""left"": 0.027813291011704593, ""top"": 0.45544757269763303 }, { ""left"": 0.031488308623408075, ""top"": 0.40208631697569863 }, { ""left"": 0.046188379070221955, ""top"": 0.370069563542538 }, { ""left"": 0.06578847299930714, ""top"": 0.3333095873785387 }, { ""left"": 0.06946349061101062, ""top"": 0.30247863962808774 }, { ""left"": 0.09886363150463838, ""top"": 0.27876252597389467 }, { ""left"": 0.1184637254337236, ""top"": 0.2906205828009912 }, { ""left"": 0.11233869608088443, ""top"": 0.3167083078206036 }, { ""left"": 0.08783857866952798, ""top"": 0.3463534498883449 }, { ""left"": 0.08048854344612102, ""top"": 0.3925998715140214 }, { ""left"": 0.06333846125817148, ""top"": 0.42817404199531106 }, { ""left"": 0.062113455387603655, ""top"": 0.46374821247660064 }, { ""left"": 0.05721343190533235, ""top"": 0.4910217431789226 }, { ""left"": 0.060888449517035835, ""top"": 0.5111804397849867 } ] }, { ""shape"": ""polygon"", ""points"": [ { ""left"": 0.1977499314119513, ""top"": 0.8563636343538767 }, { ""left"": 0.2109349456968283, ""top"": 0.837928054380444 }, { ""left"": 0.24169997902820806, ""top"": 0.8549455128174589 }, { ""left"": 0.26514000442354496, ""top"": 0.8677086066452196 }, { ""left"": 0.28711502823167334, ""top"": 0.8790535789365628 }, { ""left"": 0.3178800615630531, ""top"": 0.8932347943007417 }, { ""left"": 0.33985508537118136, ""top"": 0.9017435235192488 }, { ""left"": 0.3178800615630531, ""top"": 0.9329421973204423 }, { ""left"": 0.2739300139467963, ""top"": 0.9244334681019352 }, { ""left"": 0.23876997585379092, ""top"": 0.903161645055667 }, { ""left"": 0.20800494252241125, ""top"": 0.8804717004729806 } ] }, { ""shape"": ""polygon"", ""points"": [ { ""left"": 0.6680154409058984, ""top"": 0.900325401982831 }, { ""left"": 0.6841304583651925, ""top"": 0.9329421973204423 }, { ""left"": 0.7192904964581979, ""top"": 0.9215972250290995 }, { ""left"": 0.7544505345512031, ""top"": 0.9045797665920848 }, { ""left"": 0.7808205631209572, ""top"": 0.8804717004729806 }, { ""left"": 0.8101205948651284, ""top"": 0.864872363572384 }, { ""left"": 0.837955625022091, ""top"": 0.8436005405261158 }, { ""left"": 0.848210636132551, ""top"": 0.8237468390162654 }, { ""left"": 0.8159806012139627, ""top"": 0.8010568944335792 }, { ""left"": 0.7940055774058342, ""top"": 0.8180743528705937 }, { ""left"": 0.7632405440744545, ""top"": 0.8393461759168622 }, { ""left"": 0.7251505028070321, ""top"": 0.8591998774267124 }, { ""left"": 0.7046404805861122, ""top"": 0.8691267281816375 } ] }, { ""shape"": ""polygon"", ""points"": [ { ""left"": 0.25195499013866796, ""top"": 0.438017781110601 }, { ""left"": 0.24609498378983374, ""top"": 0.5089238579314951 }, { ""left"": 0.2739300139467963, ""top"": 0.5131782225407487 }, { ""left"": 0.28711502823167334, ""top"": 0.4394359026470189 } ] }, { ""shape"": ""polygon"", ""points"": [ { ""left"": 0.33985508537118136, ""top"": 0.31464120744224505 }, { ""left"": 0.4043151552083579, ""top"": 0.2848606551774695 }, { ""left"": 0.41603516790602635, ""top"": 0.3103868428329914 }, { ""left"": 0.354505101243267, ""top"": 0.34442175970702066 } ] }, { ""shape"": ""polygon"", ""points"": [ { ""left"": 0.6475054186849785, ""top"": 0.30045999207806623 }, { ""left"": 0.6240653932896416, ""top"": 0.3231499366607523 }, { ""left"": 0.6475054186849785, ""top"": 0.34867612431627426 }, { ""left"": 0.6680154409058984, ""top"": 0.3628573396804531 }, { ""left"": 0.682665456777984, ""top"": 0.388383527335975 }, { ""left"": 0.7017104774116951, ""top"": 0.41532783652791483 }, { ""left"": 0.7280805059814491, ""top"": 0.40681910730940757 }, { ""left"": 0.7075704837605294, ""top"": 0.3699479473625425 }, { ""left"": 0.6768054504291496, ""top"": 0.3288224228064239 } ] }, { ""shape"": ""polygon"", ""points"": [ { ""left"": 0.6636204361442726, ""top"": 0.6379729177455227 }, { ""left"": 0.6313904012256844, ""top"": 0.6691715915467159 }, { ""left"": 0.5976953647198875, ""top"": 0.6890252930565663 }, { ""left"": 0.5771853424989678, ""top"": 0.7074608730299987 }, { ""left"": 0.5845103504350105, ""top"": 0.7273145745398494 }, { ""left"": 0.6064853742431389, ""top"": 0.7301508176126851 }, { ""left"": 0.6416454123361444, ""top"": 0.6989521438114916 }, { ""left"": 0.6753404488419411, ""top"": 0.670589713083134 }, { ""left"": 0.685595459952401, ""top"": 0.6464816469640299 } ]}]"	correct	Yes. The elements are outlined correctly.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/4264.png	"[ { ""shape"": ""rectangle"", ""left"": 0.039816810459012295, ""top"": 0.03049203049203049, ""width"": 0.2407107177749379, ""height"": 0.05544005544005544 }, { ""shape"": ""rectangle"", ""left"": 0.035292172906851806, ""top"": 0.09702009702009701, ""width"": 0.14478840166913562, ""height"": 0.03788403788403788 }, { ""shape"": ""rectangle"", ""left"": 0.035292172906851806, ""top"": 0.20328020328020324, ""width"": 0.23980579026450585, ""height"": 0.035112035112035145 }, { ""shape"": ""rectangle"", ""left"": 0.028052752823395023, ""top"": 0.3021483021483022, ""width"": 0.1465982566899998, ""height"": 0.0323400323400323 }, { ""shape"": ""rectangle"", ""left"": 0.035292172906851806, ""top"": 0.4176484176484176, ""width"": 0.27147825312962925, ""height"": 0.03696003696003697 }, { ""shape"": ""rectangle"", ""left"": 0.04072173796944439, ""top"": 0.4555324555324555, ""width"": 0.28143245574438236, ""height"": 0.04250404250404244 }, { ""shape"": ""rectangle"", ""left"": 0.034258175581468674, ""top"": 0.7963057034338572, ""width"": 0.23584483678853055, ""height"": 0.04170553051736525 }, { ""shape"": ""rectangle"", ""left"": 0.035575744502074964, ""top"": 0.8447379324217652, ""width"": 0.10145280688668637, ""height"": 0.034978832046822506 } ]"	incorrect	No. Lines of text should not be outlined separately.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/369.png	"[ { ""shape"": ""rectangle"", ""left"": 0.15196591940777987, ""top"": 0.18202818202818202, ""width"": 0.1058948035692222, ""height"": 0.10071610071610074 }, { ""shape"": ""rectangle"", ""left"": 0.32249781086990387, ""top"": 0.11272811272811273, ""width"": 0.1306494329750144, ""height"": 0.0665280665280665 }, { ""shape"": ""rectangle"", ""left"": 0.3740699554653043, ""top"": 0.3030723030723031, ""width"": 0.11277108951527559, ""height"": 0.06837606837606836 }, { ""shape"": ""rectangle"", ""left"": 0.35275346903253885, ""top"": 0.42873642873642875, ""width"": 0.09764326043395805, ""height"": 0.10995610995610988 }, { ""shape"": ""rectangle"", ""left"": 0.009238873648706944, ""top"": 0.8518201292540751, ""width"": 0.22113469164332678, ""height"": 0.06840857367383513 }, { ""shape"": ""rectangle"", ""left"": 0.21764638879457598, ""top"": 0.7983759310713917, ""width"": 0.08272664723347478, ""height"": 0.04703089440076158 }, { ""shape"": ""rectangle"", ""left"": 0.37037250676406785, ""top"": 0.7663094121617816, ""width"": 0.1956803386484114, ""height"": 0.04703089440076147 }, { ""shape"": ""rectangle"", ""left"": 0.5183259335470131, ""top"": 0.8368557537629239, ""width"": 0.2640889123222463, ""height"": 0.07909741331037168 }, { ""shape"": ""rectangle"", ""left"": 0.8158236841750858, ""top"": 0.8389935216902313, ""width"": 0.13045355909894096, ""height"": 0.06627080574652722 }, { ""shape"": ""rectangle"", ""left"": 0.7967329194288991, ""top"": 0.7128652139790982, ""width"": 0.1845440592131362, ""height"": 0.07482187745575697 }, { ""shape"": ""rectangle"", ""left"": 0.8142327871129035, ""top"": 0.5803236024860431, ""width"": 0.16386239740476738, ""height"": 0.04916866232806871 }, { ""shape"": ""rectangle"", ""left"": 0.6535521838325007, ""top"": 0.37937341731915303, ""width"": 0.16386239740476716, ""height"": 0.07054634160114226 } ]"	correct	Yes. The elements are outlined correctly.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/1349.png	"[ { ""shape"": ""rectangle"", ""left"": 0, ""top"": 0.009821220570633626, ""width"": 0.35782937886287286, ""height"": 0.1343969946423614 }, { ""shape"": ""rectangle"", ""left"": 0.06511272453180977, ""top"": 0.17167566573132687, ""width"": 0.12618577180840543, ""height"": 0.046244127188769496 }, { ""shape"": ""rectangle"", ""left"": 0.10631624185700339, ""top"": 0.45925633168648716, ""width"": 0.09270791398168565, ""height"": 0.09104312540288995 }, { ""shape"": ""rectangle"", ""left"": 0.5999000431483854, ""top"": 0.01271147851993172, ""width"": 0.11073445281145777, ""height"": 0.04479899821412045 }, { ""shape"": ""rectangle"", ""left"": 0.5647053720997826, ""top"": 0.19335260035106258, ""width"": 0.08069022142850413, ""height"": 0.03901848231552424 }, { ""shape"": ""rectangle"", ""left"": 0.4256435011272539, ""top"": 0.25404801728632254, ""width"": 0.15193797013665156, ""height"": 0.04479899821412042 }, { ""shape"": ""rectangle"", ""left"": 0.8110680694400026, ""top"": 0.46070146066113626, ""width"": 0.08584066109415345, ""height"": 0.09104312540288995 }, { ""shape"": ""rectangle"", ""left"": 0.4754310845618629, ""top"": 0.4809332663062229, ""width"": 0.05150439665649209, ""height"": 0.04479899821412048 }, { ""shape"": ""rectangle"", ""left"": 0.4059001490755986, ""top"": 0.7150441601993686, ""width"": 0.18713264118525447, ""height"": 0.041908740264822275 }, { ""shape"": ""rectangle"", ""left"": 0.010174701431551587, ""top"": 0.9404842802446198, ""width"": 0.2789821485559985, ""height"": 0.05951571975538017 } ]"	correct	Yes! The elements are outlined correctly.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/380.png	"[ { ""shape"": ""rectangle"", ""left"": 0.8106008106008105, ""top"": 0.04989604989604989, ""width"": 0.16485016485016502, ""height"": 0.04342804342804344 }, { ""shape"": ""rectangle"", ""left"": 0.8053508053508054, ""top"": 0.13028413028413027, ""width"": 0.1932001932001931, ""height"": 0.03696003696003697 }, { ""shape"": ""rectangle"", ""left"": 0.8263508263508264, ""top"": 0.22915222915222913, ""width"": 0.1449001449001448, ""height"": 0.03511203511203512 }, { ""shape"": ""rectangle"", ""left"": 0.7843507843507843, ""top"": 0.3123123123123123, ""width"": 0.11235011235011239, ""height"": 0.03788403788403788 }, { ""shape"": ""rectangle"", ""left"": 0.7297507297507297, ""top"": 0.39547239547239543, ""width"": 0.13650013650013648, ""height"": 0.03973203973203976 }, { ""shape"": ""rectangle"", ""left"": 0.049350049350049344, ""top"": 0.2273042273042273, ""width"": 0.13230013230013232, ""height"": 0.04527604527604526 }, { ""shape"": ""rectangle"", ""left"": 0.053550053550053545, ""top"": 0.401016401016401, ""width"": 0.17955017955017955, ""height"": 0.04620004620004614 }, { ""shape"": ""rectangle"", ""left"": 0.0063000063000063005, ""top"": 0.583968583968584, ""width"": 0.22365022365022366, ""height"": 0.048048048048048075 } ]"	correct	Yes. The elements are outlined correctly.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/3591.png	"[ { ""shape"": ""polygon"", ""points"": [ { ""left"": 0.1068336240750034, ""top"": 0.8352968352968354 }, { ""left"": 0.10544617441169164, ""top"": 0.705936705936706 }, { ""left"": 0.13180771801461458, ""top"": 0.6098406098406098 }, { ""left"": 0.18383708038880453, ""top"": 0.5525525525525525 }, { ""left"": 0.2414162414162414, ""top"": 0.5257565257565258 }, { ""left"": 0.26361543602922916, ""top"": 0.5146685146685147 }, { ""left"": 0.27194013400909955, ""top"": 0.47586047586047586 }, { ""left"": 0.26361543602922916, ""top"": 0.4296604296604297 }, { ""left"": 0.24904721456445594, ""top"": 0.3927003927003927 }, { ""left"": 0.23239781860471515, ""top"": 0.3474243474243474 }, { ""left"": 0.24349741591120902, ""top"": 0.27627627627627627 }, { ""left"": 0.27818365749400237, ""top"": 0.24208824208824212 }, { ""left"": 0.33090674469984815, ""top"": 0.2300762300762301 }, { ""left"": 0.37044906010423256, ""top"": 0.2300762300762301 }, { ""left"": 0.40513530168702583, ""top"": 0.26334026334026334 }, { ""left"": 0.4280282211316694, ""top"": 0.2975282975282975 }, { ""left"": 0.42525332180504594, ""top"": 0.3418803418803419 }, { ""left"": 0.44051526810147507, ""top"": 0.3622083622083622 }, { ""left"": 0.5105814760987174, ""top"": 0.3418803418803419 }, { ""left"": 0.5972970800557008, ""top"": 0.316008316008316 }, { ""left"": 0.6548762410831377, ""top"": 0.28921228921228925 }, { ""left"": 0.839407046303598, ""top"": 0.2993762993762994 }, { ""left"": 0.839407046303598, ""top"": 0.34003234003234 }, { ""left"": 0.8373258718086305, ""top"": 0.3797643797643798 }, { ""left"": 0.8012521805625255, ""top"": 0.39639639639639646 }, { ""left"": 0.7908463080876874, ""top"": 0.4231924231924232 }, { ""left"": 0.7977835564042461, ""top"": 0.4546084546084546 }, { ""left"": 0.9316724489138282, ""top"": 0.46107646107646105 }, { ""left"": 0.9594214421800629, ""top"": 0.49064449064449067 }, { ""left"": 0.953871643526816, ""top"": 0.5174405174405174 }, { ""left"": 0.9656649656649656, ""top"": 0.5636405636405637 }, { ""left"": 0.964277516001654, ""top"": 0.5978285978285978 }, { ""left"": 0.9252362161421395, ""top"": 0.630067787362832 }, { ""left"": 0.8398980608363643, ""top"": 0.6319011008211485 }, { ""left"": 0.7765826552869184, ""top"": 0.640151011383573 }, { ""left"": 0.7738298115673773, ""top"": 0.6795672507373786 }, { ""left"": 0.782473749762682, ""top"": 0.7414321449818015 }, { ""left"": 0.8170081559738457, ""top"": 0.7989294079325382 }, { ""left"": 0.8572982965535363, ""top"": 0.8372609165663627 }, { ""left"": 0.9321228433443906, ""top"": 0.8794255760635696 }, { ""left"": 0.9393175113050495, ""top"": 0.9311731127192326 }, { ""left"": 0.8975884371332269, ""top"": 0.9484222916044537 }, { ""left"": 0.8860769683961726, ""top"": 0.9810040739432044 }, { ""left"": 0.8242028239345046, ""top"": 1 }, { ""left"": 0.729233206853805, ""top"": 1 }, { ""left"": 0.637141456957369, ""top"": 0.9963366773967344 }, { ""left"": 0.46159155871728774, ""top"": 0.9388394144459975 }, { ""left"": 0.2730912581480204, ""top"": 0.9484222916044537 }, { ""left"": 0.17092697310666166, ""top"": 0.9407559898776888 } ]}]"	incorrect	No. Only text elements should be outlined. 
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/3525.png	"[ { ""shape"": ""rectangle"", ""left"": 0.15151561818228487, ""top"": 0.18849618849618852, ""width"": 0.15634095634095635, ""height"": 0.027720027720027712 }, { ""shape"": ""rectangle"", ""left"": 0.0636944636944637, ""top"": 0.26334026334026334, ""width"": 0.1312491979158646, ""height"": 0.04897204897204899 }, { ""shape"": ""rectangle"", ""left"": 0.09940196606863273, ""top"": 0.524832524832525, ""width"": 0.10036703370036705, ""height"": 0.02494802494802484 }, { ""shape"": ""rectangle"", ""left"": 0.1312491979158646, ""top"": 0.6357126357126357, ""width"": 0.08589101922435258, ""height"": 0.026796026796026884 }, { ""shape"": ""rectangle"", ""left"": 0.2547778547778548, ""top"": 0.7401247401247402, ""width"": 0.1167731834398501, ""height"": 0.026796026796026773 }, { ""shape"": ""rectangle"", ""left"": 0.40725854059187394, ""top"": 0.8121968121968123, ""width"": 0.14572521239187908, ""height"": 0.027720027720027685 }, { ""shape"": ""rectangle"", ""left"": 0.5935165935165936, ""top"": 0.8001848001848003, ""width"": 0.12642385975719317, ""height"": 0.027720027720027685 }, { ""shape"": ""rectangle"", ""left"": 0.7083596416929752, ""top"": 0.7521367521367522, ""width"": 0.1534457534457534, ""height"": 0.02494802494802484 }, { ""shape"": ""rectangle"", ""left"": 0.8077616077616079, ""top"": 0.4194964194964195, ""width"": 0.10133210133210124, ""height"": 0.024024024024023982 }, { ""shape"": ""rectangle"", ""left"": 0.7266959266959268, ""top"": 0.3631323631323632, ""width"": 0.07913554580221249, ""height"": 0.02032802032802028 }, { ""shape"": ""rectangle"", ""left"": 0.6572110572110572, ""top"": 0.27442827442827444, ""width"": 0.09940196606863272, ""height"": 0.023100023100023126 }, { ""shape"": ""rectangle"", ""left"": 0.6002720669387337, ""top"": 0.18757218757218758, ""width"": 0.10229716896383556, ""height"": 0.024024024024024038 }, { ""shape"": ""rectangle"", ""left"": 0.4477913811247145, ""top"": 0.12196812196812197, ""width"": 0.1466902800236134, ""height"": 0.022176022176022173 } ]"	human_error	The URL should be outlined as well. This is a human error!
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/23.png	"[ { ""shape"": ""rectangle"", ""left"": 0.6445994927670321, ""top"": 0.050820050820050824, ""width"": 0.3056459600962219, ""height"": 0.03511203511203512 }, { ""shape"": ""rectangle"", ""left"": 0.6563551066168868, ""top"": 0.09424809424809424, ""width"": 0.28017546342153676, ""height"": 0.02587202587202589 }, { ""shape"": ""rectangle"", ""left"": 0.20376397339748126, ""top"": 0.145992145992146, ""width"": 0.1900490905726508, ""height"": 0.030492030492030503 }, { ""shape"": ""rectangle"", ""left"": 0.6798663343165962, ""top"": 0.25964425964425963, ""width"": 0.2331530080221179, ""height"": 0.03603603603603606 }, { ""shape"": ""rectangle"", ""left"": 0.6524365686669352, ""top"": 0.303996303996304, ""width"": 0.2880125393214399, ""height"": 0.024024024024024038 }, { ""shape"": ""rectangle"", ""left"": 0.15674151799806252, ""top"": 0.3575883575883576, ""width"": 0.28801253932143983, ""height"": 0.03326403326403332 }, { ""shape"": ""rectangle"", ""left"": 0.6524365686669352, ""top"": 0.4527604527604528, ""width"": 0.2958496152213429, ""height"": 0.03141603141603139 }, { ""shape"": ""rectangle"", ""left"": 0.6700699894417173, ""top"": 0.49249249249249255, ""width"": 0.26841984957168197, ""height"": 0.026796026796026717 }, { ""shape"": ""rectangle"", ""left"": 0.16891700573932542, ""top"": 0.5627804918682919, ""width"": 0.26094737777871213, ""height"": 0.04102135732982226 }, { ""shape"": ""rectangle"", ""left"": 0.12353485308215803, ""top"": 0.7625366666917741, ""width"": 0.3668390673121027, ""height"": 0.03923782005461274 }, { ""shape"": ""rectangle"", ""left"": 0.09328008464404659, ""top"": 0.9515916178639985, ""width"": 0.40843937391450613, ""height"": 0.04815550643066091 }, { ""shape"": ""rectangle"", ""left"": 0.6870299152419859, ""top"": 0.6697927283808718, ""width"": 0.22312891723107275, ""height"": 0.0338872082289835 }, { ""shape"": ""rectangle"", ""left"": 0.6681206849681662, ""top"": 0.7125976229859036, ""width"": 0.260947377778712, ""height"": 0.03210367095377398 }, { ""shape"": ""rectangle"", ""left"": 0.6870299152419859, ""top"": 0.8731159777547732, ""width"": 0.21556522512154486, ""height"": 0.03923782005461274 }, { ""shape"": ""rectangle"", ""left"": 0.6681206849681662, ""top"": 0.9141373350845955, ""width"": 0.260947377778712, ""height"": 0.030320133678564454 } ]"	incorrect	No. Lines of text should not be outlined separately.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/3594.png	"[ { ""shape"": ""rectangle"", ""left"": 0.14606933363413968, ""top"": 0.19449963533492876, ""width"": 0.15314695684674637, ""height"": 0.04357508798774623 }, { ""shape"": ""rectangle"", ""left"": 0.21598424871635002, ""top"": 0.28332577623302674, ""width"": 0.08212228120767562, ""height"": 0.048602982755563184 }, { ""shape"": ""rectangle"", ""left"": 0.14717909419100017, ""top"": 0.3520403380598574, ""width"": 0.11763461902721101, ""height"": 0.04357508798774623 }, { ""shape"": ""rectangle"", ""left"": 0.1771426292262332, ""top"": 0.434162619267533, ""width"": 0.0898906051056989, ""height"": 0.036871228297323755 }, { ""shape"": ""rectangle"", ""left"": 0.07615441855192942, ""top"": 0.6587419188966867, ""width"": 0.09321988677628035, ""height"": 0.0921780707433093 }, { ""shape"": ""rectangle"", ""left"": 0.03509327794809158, ""top"": 0.9386280609718259, ""width"": 0.13539078793697867, ""height"": 0.046927017832957496 }, { ""shape"": ""rectangle"", ""left"": 0.4301680361904229, ""top"": 0.9453319206622484, ""width"": 0.1376103090506996, ""height"": 0.04357508798774623 }, { ""shape"": ""rectangle"", ""left"": 0.8363404000013588, ""top"": 0.9369520960492203, ""width"": 0.1120858162429087, ""height"": 0.05363087752338014 }, { ""shape"": ""rectangle"", ""left"": 0.8241330338758935, ""top"": 0.6101389361411235, ""width"": 0.1287322245958159, ""height"": 0.09888193043373195 }, { ""shape"": ""rectangle"", ""left"": 0.7886206960563582, ""top"": 0.4810896371004905, ""width"": 0.11097605568604807, ""height"": 0.04189912306514049 }, { ""shape"": ""rectangle"", ""left"": 0.7231448232015898, ""top"": 0.3386326186790124, ""width"": 0.10764677401546663, ""height"": 0.050278947678168706 } ]"	correct	Yes. The elements are outlined correctly.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/4337.png	"[ { ""shape"": ""rectangle"", ""left"": 0.10507498308873964, ""top"": 0.2816450632101136, ""width"": 0.10166714579937511, ""height"": 0.03669920520616632 }, { ""shape"": ""rectangle"", ""left"": 0.3299922441867985, ""top"": 0.28335200298714464, ""width"": 0.1277938983511699, ""height"": 0.03669920520616632 }, { ""shape"": ""rectangle"", ""left"": 0.5736526103763623, ""top"": 0.28591241265269113, ""width"": 0.15221673225828236, ""height"": 0.04182002453725925 }, { ""shape"": ""rectangle"", ""left"": 0.10848282037810417, ""top"": 0.6170587293967035, ""width"": 0.09712336274688907, ""height"": 0.035845735317650895 }, { ""shape"": ""rectangle"", ""left"": 0.31579292214777965, ""top"": 0.617912199285219, ""width"": 0.1596003797185721, ""height"": 0.035845735317650895 }, { ""shape"": ""rectangle"", ""left"": 0.5469578849430068, ""top"": 0.621326078839281, ""width"": 0.14767294920579632, ""height"": 0.035845735317650784 }, { ""shape"": ""rectangle"", ""left"": 0.09867962182398674, ""top"": 0.8831278504746853, ""width"": 0.10544223341970493, ""height"": 0.035209729244759624 }, { ""shape"": ""rectangle"", ""left"": 0.3275283210237908, ""top"": 0.8831278504746853, ""width"": 0.1327791087507395, ""height"": 0.038730702169235576 }, { ""shape"": ""rectangle"", ""left"": 0.5485664844147279, ""top"": 0.8913434539651293, ""width"": 0.15230544827290715, ""height"": 0.03286241396177558 } ]"	human_error	The elements are outlined correctly, only a few are missing. This is a human error.
